0 0 1
0 0.1 1.10517
0 0.2 1.2214
0 0.3 1.34986
0 0.4 1.49182
0 0.5 1.64872
0 0.6 1.82212
0 0.7 2.01375
0 0.8 2.22554
0 0.9 2.4596
0 1 2.71828

0.1 0 1.10517
0.1 0.1 1.22323
0.1 0.2 1.35309
0.1 0.3 1.49612
0.1 0.4 1.65377
0.1 0.5 1.82762
0.1 0.6 2.01936
0.1 0.7 2.23082
0.1 0.8 2.46399
0.1 0.9 2.72101
0.1 1 3.00417

0.2 0 1.2214
0.2 0.1 1.35275
0.2 0.2 1.49706
0.2 0.3 1.65576
0.2 0.4 1.83042
0.2 0.5 2.02275
0.2 0.6 2.23459
0.2 0.7 2.46795
0.2 0.8 2.72503
0.2 0.9 3.00821
0.2 1 3.32012

0.3 0 1.34986
0.3 0.1 1.49547
0.3 0.2 1.65536
0.3 0.3 1.83108
0.3 0.4 2.02433
0.3 0.5 2.23697
0.3 0.6 2.47104
0.3 0.7 2.72875
0.3 0.8 3.01253
0.3 0.9 3.32507
0.3 1 3.6693

0.4 0 1.49182
0.4 0.1 1.65299
0.4 0.2 1.8299
0.4 0.3 2.02426
0.4 0.4 2.23795
0.4 0.5 2.47299
0.4 0.6 2.73164
0.4 0.7 3.01635
0.4 0.8 3.32981
0.4 0.9 3.67501
0.4 1 4.0552

0.5 0 1.64872
0.5 0.1 1.82695
0.5 0.2 2.02257
0.5 0.3 2.23746
0.5 0.4 2.47368
0.5 0.5 2.73346
0.5 0.6 3.01929
0.5 0.7 3.33389
0.5 0.8 3.68024
0.5 0.9 4.06163
0.5 1 4.48169

0.6 0 1.82212
0.6 0.1 2.01915
0.6 0.2 2.2354
0.6 0.3 2.47294
0.6 0.4 2.73402
0.6 0.5 3.02113
0.6 0.6 3.33702
0.6 0.7 3.68467
0.6 0.8 4.06741
0.6 0.9 4.48886
0.6 1 4.95303

0.7 0 2.01375
0.7 0.1 2.23154
0.7 0.2 2.47056
0.7 0.3 2.7331
0.7 0.4 3.02165
0.7 0.5 3.33897
0.7 0.6 3.68807
0.7 0.7 4.07227
0.7 0.8 4.49524
0.7 0.9 4.96099
0.7 1 5.47395

0.8 0 2.22554
0.8 0.1 2.46624
0.8 0.2 2.73042
0.8 0.3 3.02058
0.8 0.4 3.33949
0.8 0.5 3.69018
0.8 0.6 4.07599
0.8 0.7 4.5006
0.8 0.8 4.96804
0.8 0.9 5.48275
0.8 1 6.04965

0.9 0 2.4596
0.9 0.1 2.72563
0.9 0.2 3.01759
0.9 0.3 3.33828
0.9 0.4 3.69073
0.9 0.5 4.0783
0.9 0.6 4.50469
0.9 0.7 4.97395
0.9 0.8 5.49054
0.9 0.9 6.05939
0.9 1 6.68589

1 0 2.71828
1 0.1 3.01229
1 0.2 3.33496
1 0.3 3.68938
1 0.4 4.0789
1 0.5 4.50723
1 0.6 4.97847
1 0.7 5.49707
1 0.8 6.068
1 0.9 6.69666
1 1 7.38906

