t\x,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
0.047,1.04707,1.1572,1.27891,1.41342,1.56207,1.72636,1.90792,2.10857,2.33033,2.5754,2.84624
0.048,1.04812,1.15836,1.28019,1.41484,1.56364,1.72809,1.90983,2.11068,2.33266,2.57798,2.84909
0.049,1.04917,1.15952,1.28148,1.41625,1.5652,1.72982,1.91174,2.1128,2.335,2.58056,2.85194
0.05,1.05022,1.16068,1.28276,1.41767,1.56677,1.73155,1.91365,2.11491,2.33733,2.58314,2.85479
0.051,1.05127,1.16184,1.28404,1.41909,1.56834,1.73328,1.91557,2.11703,2.33967,2.58572,2.85765
0.052,1.05232,1.16301,1.28533,1.42051,1.56991,1.73501,1.91749,2.11915,2.34201,2.58831,2.86051
0.053,1.05338,1.16417,1.28661,1.42193,1.57148,1.73675,1.9194,2.12127,2.34436,2.5909,2.86337
0.054,1.05443,1.16533,1.2879,1.42335,1.57305,1.73849,1.92133,2.12339,2.3467,2.59349,2.86624
0.055,1.05548,1.1665,1.28919,1.42478,1.57462,1.74023,1.92325,2.12551,2.34905,2.59609,2.8691
0.056,1.05654,1.16767,1.29048,1.4262,1.5762,1.74197,1.92517,2.12764,2.3514,2.59869,2.87198
0.057,1.0576,1.16884,1.29177,1.42763,1.57778,1.74371,1.9271,2.12977,2.35375,2.60129,2.87485
0.058,1.05866,1.17001,1.29306,1.42906,1.57936,1.74546,1.92903,2.1319,2.35611,2.60389,2.87772
0.059,1.05971,1.17118,1.29436,1.43049,1.58094,1.7472,1.93096,2.13403,2.35847,2.60649,2.8806
0.06,1.06078,1.17235,1.29565,1.43192,1.58252,1.74895,1.93289,2.13617,2.36082,2.6091,2.88349
0.061,1.06184,1.17352,1.29695,1.43335,1.5841,1.7507,1.93482,2.13831,2.36319,2.61171,2.88637
0.062,1.0629,1.1747,1.29825,1.43479,1.58569,1.75246,1.93676,2.14045,2.36555,2.61433,2.88926
0.063,1.06396,1.17587,1.29955,1.43622,1.58727,1.75421,1.9387,2.14259,2.36792,2.61694,2.89215
